type,nb_enfants_parent1,nb_enfants_parent2,ratio_parent1,ratio_parent2,color
garde_mixte,1,1,0.5,0.5,#2563eb
garde_couple1,1,0,1,0,#0ea5e9
garde_vacances,1,1,0.5,0.5,#22c55e
