date,label
2026-11-11,Armistice
2026-12-25,Noel
2027-01-01,Nouvel An
2027-04-05,Lundi de Paques
2027-05-01,Fete du Travail
2027-05-08,Victory Day
2027-05-13,Ascension
2027-05-24,Lundi de Pentecote
2027-07-14,Fete nationale
2027-08-15,Assomption
