type,children_parent1,children_parent2,ratio_parent1,ratio_parent2,color
C1E0,1,0,1,0,#f97376
C1E1,1,1,0.5,0.5,#2563eb
C2E0,2,0,1,0,#25652b
C2E1,2,1,0.6666,0.33333,#0ea5e9
C0E2,0,2,0,1,#0eB5A9
C1E2,1,2,0.33333,0.6666,#22c55e
C2E2,2,2,0.5,0.5,#f97316
C0E0,0,0,0,0,#f91316
