type,children_parent1,children_parent2,ratio_parent1,ratio_parent2,color
C1E1,1,1,0.5,0.5,#2563eb
C2E1,2,1,0.67,0.33,#0ea5e9
C1E2,1,2,0.33,0.67,#22c55e
C2E2,2,2,0.5,0.5,#f97316
