date,type,weekend,semaine
2027-03-16,Lundi,,11
2027-03-17,Mardi,,11
2027-03-18,Lundi,,11
2027-03-19,Lundi,,11
2027-03-22,Lundi,,12
2027-03-23,Lundi,,12
2027-03-24,Mardi,,12
2027-03-25,Lundi,,12
2027-03-26,Lundi,,12
2027-03-29,Lundi,,13
2027-03-30,Lundi,,13
2027-03-31,Mardi,,13
2027-04-01,Lundi,,13
2027-04-02,Lundi,,13
2027-04-05,Lundi,,14
2027-04-06,Lundi,,14
2027-04-07,Mardi,,14
2027-04-08,Lundi,,14
2027-04-09,Lundi,,14
2027-04-12,vacances,,15
2027-04-13,vacances,,15
2027-04-14,vacances,,15
2027-04-15,vacances,,15
2027-04-16,vacances,,15
2027-04-19,vacances,,16
2027-04-20,vacances,,16
2027-04-21,vacances,,16
2027-04-22,vacances,,16
2027-04-23,vacances,,16
2027-04-26,Lundi,,17
2027-04-27,Lundi,,17
2027-04-28,Mardi,,17
2027-04-29,Lundi,,17
2027-04-30,Lundi,,17
2027-05-03,Lundi,,18
2027-05-04,Lundi,,18
2027-05-05,Mardi,,18
2027-05-06,Lundi,,18
2027-05-07,Lundi,,18
2027-05-10,Lundi,,19
2027-05-11,Lundi,,19
2027-05-12,Mardi,,19
2027-05-13,Lundi,,19
2027-05-14,Lundi,,19
2027-05-17,Lundi,,20
2027-05-18,Lundi,,20
2027-05-19,Mardi,,20
2027-05-20,Lundi,,20
2027-05-21,Lundi,,20
2027-05-24,Lundi,,21
2027-05-25,Lundi,,21
2027-05-26,Mardi,,21
2027-05-27,Lundi,,21
2027-05-28,Lundi,,21
2027-05-31,Lundi,,22
2027-06-01,Lundi,,22
2027-06-02,Mardi,,22
2027-06-03,Lundi,,22
2027-06-04,Lundi,,22
2027-06-07,Lundi,,23
2027-06-08,Lundi,,23
2027-06-09,Mardi,,23
2027-06-10,Lundi,,23
2027-06-11,Lundi,,23
2027-06-14,Lundi,,24
2027-06-15,Lundi,,24
2027-06-16,Mardi,,24
2027-06-17,Lundi,,24
2027-06-18,Lundi,,24
2027-06-21,Lundi,,25
2027-06-22,Lundi,,25
2027-06-23,Mardi,,25
2027-06-24,Lundi,,25
2027-06-25,Lundi,,25
2027-06-28,Lundi,,26
2027-06-29,Lundi,,26
2027-06-30,Mardi,,26
2027-07-01,Lundi,,26
2027-07-02,Lundi,,26
2027-07-05,vacances,,27
2027-07-06,vacances,,27
2027-07-07,vacances,,27
2027-07-08,vacances,,27
2027-07-09,vacances,,27
2027-07-12,vacances,,28
2027-07-13,vacances,,28
2027-07-14,vacances,,28
2027-07-15,vacances,,28
2027-07-16,vacances,,28
2027-07-19,vacances,,29
2027-07-20,vacances,,29
2027-07-21,vacances,,29
2027-07-22,vacances,,29
2027-07-23,vacances,,29
2027-07-26,vacances,,30
2027-07-27,vacances,,30
2027-07-28,vacances,,30
2027-07-29,vacances,,30
2027-07-30,vacances,,30
2027-08-02,vacances,,31
2027-08-03,vacances,,31
2027-08-04,vacances,,31
2027-08-05,vacances,,31
2027-08-06,vacances,,31
2027-08-09,vacances,,32
2027-08-10,vacances,,32
2027-08-11,vacances,,32
2027-08-12,vacances,,32
2027-08-13,vacances,,32
2027-08-16,vacances,,33
2027-08-17,vacances,,33
2027-08-18,vacances,,33
2027-08-19,vacances,,33
2027-08-20,vacances,,33
2027-08-23,vacances,,34
2027-08-24,vacances,,34
2027-08-25,vacances,,34
2027-08-26,vacances,,34
2027-08-27,vacances,,34
2027-08-30,vacances,,35
2027-08-31,vacances,,35
