date,type
2026-08-17,standard
2026-08-18,standard
2026-08-19,standard
2026-08-20,standard
2026-08-21,standard
2026-08-24,standard
2026-08-25,ferie
2026-08-26,standard
2026-08-27,cp
2026-08-28,standard
